name,phone,taxCode
CÔNG TY TNHH GỖ RISUN GLOBAL,"0355504159
","3703345596
"
CÔNG TY TNHH CÔNG NGHIỆP YI FENG,"02749998568
","3703345511
"
CÔNG TY TNHH DƯỢC PHẨM ANH TRANG,"0978961331
","3703345652
"
CÔNG TY TNHH SX TM ĐẠI HÀO PHÁT,"0965140764
","3703345564
"
CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ TỔNG HỢP TIẾN THÀNH,"0967345339
","3703345074
"
DNTN SẢN XUẤT THỰC PHẨM CHAY CHỮ THIÊN,"0933334496
","3703345109
"
CÔNG TY TNHH GIA CÔNG GỐM SỨ PHONG NGÂN,"0971795926
","3703344962
"
CÔNG TY TNHH MINH CHÍN SỮA-TÃ-YẾN SÀO,"0976713709
","3703344585
"
CÔNG TY TNHH PT TÂM CHÂU,"0975034991
","3703344578
"
CÔNG TY TNHH NĂNG LƯỢNG MẶT TRỜI TRẦN MINH,"0989857231
","3703344553
"
CÔNG TY TNHH MTV HOÀNG PHÚ AN GIA,"0886493736
","3703344546
"
CÔNG TY TNHH SX XNK TM DV NAM HƯNG,"0985345178
","3703344507
"
CÔNG TY TNHH QUẾ ANH HUỲNH,"0828551439
","3703344497
"
CÔNG TY TNHH THIẾT BỊ ĐIỆN GIA DỤNG CỐ PHONG,"0975046626
","3703344472
"
CÔNG TY TNHH TM DV TRUNG KIÊN KJO,"0911000095
","3703344465
"
CÔNG TY TNHH TÔN THÉP NGỌC MINH DƯƠNG,"0964428808
","3703344458
"
CÔNG TY TRÁCH NHIỆM HỮU HẠN THỰC PHẨM VIỆT TRINH,"0353388587
","3703344440
"
CÔNG TY TNHH DỊCH VỤ TƯ VẤN OURUI NUO,"0933317813
","3703344433
"
CÔNG TY TNHH VẬN TẢI DU LỊCH XUÂN ANH,"0979889576
","3703344426
"
CÔNG TY TNHH TM DV ANH TUẤN LIGHTING,"0969499289
","3703344401
"
CÔNG TY TNHH THANH HUYỀN PHÁT,"0968027329
","370334439
"
CÔNG TY TNHH NHÀ HÀNG XIANGGELILA,"02743814988
","3703344384
"
CÔNG TY TNHH THƯƠNG MẠI VIỆT NAM HENGLI,"0899005138
","3703344377
"
CÔNG TY TNHH TM - DV VY NAM TIẾN PHÁT,"0797697789
","3703344352
"
CÔNG TY TNHH EASY TEXTILES (VIỆT NAM),"0898558677
","3703344345
"
CÔNG TY TNHH NGUYÊN LIỆU MI GIẢ LÝ ÁNH,"0933184926
","3703344338
"
CÔNG TY TNHH NHÂN PHÁT FOOD,"0357933052
","3703344320
"
CÔNG TY TNHH HÀ AN HOUSE,"02873051678
","3703344313
"
CÔNG TY TNHH KKL,"0931100933
","3703344306
"
CÔNG TY TNHH AN PHÚC KHANG BD,"0949055638
","3703343983
"
CÔNG TY TNHH THƯƠNG MẠI KV KHÁNH VY,"0937199152
","3703343976
"
CÔNG TY TNHH MINH VY EYELASH,"0329596592
","3703343969
"
CÔNG TY TNHH VIET PACK SOLUTIONS,"0783282709
","3703343944
"
CÔNG TY TNHH GIA BẢO GARDEN,"0961676879
","3703343937
"
CÔNG TY TNHH THƯƠNG MẠI QUỐC TUẤN HUỲNH,"0589650296
","3703343912
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ NGŨ KIM LÂM VÂN,"0797121998
","3703343863
"
CÔNG TY TNHH MỘC LIÊN PHƯỚC,"0813411689
","3703343856
"
CÔNG TY TNHH THƯƠNG MẠI VÀ NHẬP KHẨU THÀNH MẠNH PHÁT,"035431931
","3703343849
"
CÔNG TY TNHH NHẬT PHÁT NC,"0934016832
","3703343824
"
CÔNG TY TNHH NỘI THẤT BẢO CHÂU CERAMIC,"0971886377
","3703343655
"
CÔNG TY TNHH KẾT CẤU XÂY DỰNG THƯƠNG MẠI DỊCH VỤ VẬN TẢI ANH NHÂN PHÁT,"0903725279
","3703343870
"
CÔNG TY CỔ PHẦN KHAI THÁC VÀ BUÔN BÁN VLXD THUẬN THỊ EXPLOIT,"0798843565
","3703345363
"
CÔNG TY TNHH HUY NGUYỄN BLUE,"0587845446
","3703345356
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ẮC QUY THANH TÙNG,"0775438289
","3703344634
"
CÔNG TY TNHH KHUNG HÌNH THẾ HƯỞNG,"0987098819
","3703344715
"
CÔNG TY TNHH BÃI XE KIM OANH,"0909276881
","3703345116
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ JINFENG,"0333210297
","3703344909
"
CÔNG TY TNHH TM DV XÂY DỰNG VÀ BẢO TRÌ PHÚC ĐAN,"0989413875
","3703345148
"
CÔNG TY TNHH HK THÀNH TÂM,"0960634057
","3703345130
"
CÔNG TY TNHH TOREALM,"0332668460
","3703344874
"
CÔNG TY TNHH TM-DV KIM LOẠI MÀU VÂN ĐỊNH,"0896474489
","3703344810
"
CÔNG TY TNHH TẠP HOÁ ĐỒ GIA DỤNG TƯƠI HIẾU,"0357762739
","3703344881
"
CÔNG TY TNHH ĐIỆN NƯỚC ĐẠI PHÁT,"0965841417
","3703344867
"
CÔNG TY TNHH CƠ KHÍ WINDY,"0931257735
","3703344708
"
CÔNG TY TNHH KIM KHÍ THẢO NGỌC,"0767083939
","3703344666
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA CẦM HẢI TRANG,"0342626515
","3703345395
"
CÔNG TY TNHH VẬT LIỆU MỚI HYT VIỆT NAM,"0898030304
","3703344793
"
CÔNG TY TNHH SẢN XUẤT MÁY MÓC LIBANG,"09716332903
","3703344698
"
CÔNG TY TNHH TƯ VẤN & PHÁT TRIỂN ÁNH DƯƠNG,"0343874563
","3703345324
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI HUY ANH PHÁT,"0909972757
","3703345162
"
CÔNG TY TNHH HT TIẾN ĐẠT,"0988624729
","3703344747
"
CÔNG TY TNHH XUẤT NHẬP KHẨU ĐẦU TƯ & XÂY DỰNG AN THỊNH PHÁT,"0969334664
","3703345317
"
CÔNG TY TNHH CÁI TIỆM NHỎ XÍU,"0916608460
","3703344602
"
CÔNG TY TNHH MTV CƠ KHÍ QUANG THỊNH,"0378676601
","3703344592
"
CÔNG TY TNHH GAME GIẢI TRÍ ĐẠI THÀNH CÔNG,"0987719126
","3703344560
"
CÔNG TY TNHH LIÊN DUY KHÔI,"0917182452
","3703344539
"
CÔNG TY TNHH XÂY DỰNG YUCHANG,"0932325998
","3703344521
"
CÔNG TY TNHH SƠN THÀNH MINH KHANG,"0932756348
","3703344514
"
CÔNG TY TNHH CÔNG NGHỆ THƯƠNG MẠI HUNMOON,"0819256513
","3703343905
"
CÔNG TY TNHH MTV DV TM ANH MINH,"0365939468
","3703343888
"
CÔNG TY TRÁCH NHIỆM HỮU HẠN BOOKING DENTAL,"0919631899
","3703343831
"
CÔNG TY TNHH GIẢI PHÁP THƯƠNG MẠI QUỐC VINH,"0898420297
","3703343817
"
CÔNG TY TNHH ĐÔNG PHÁT FUNITURE,"0919213375
","3703343687
"
CÔNG TY TNHH KHÍ HÓA LỎNG TUYẾT TÂM KHÁNH BÌNH,"0961250474
","3703344225
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐIỆN NƯỚC ĐỨC TUẤN PHÁT,"0983386003
","3703344190
"
,,
CÔNG TY TNHH NGŨ KIM JINGYI,"0355587025
","3703344176
"
CÔNG TY TNHH CÔNG NGHỆ NỘI THẤT SÁNG TẠO HUỆ TRÍ,"0389915096
","3703344137
"
CÔNG TY TNHH TM LONG HẢI,"086241791
","3703344264
"
CÔNG TY TNHH ĐIỆN NƯỚC HUY THÀNH PHÁT,"0397244236
","3703344088
"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM BÌNH MINH,"0908828213
","3703343990
"
CÔNG TY TNHH MTV ÁNH ĐỨC PHÁT,"0938224281
","3703343951
"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT TRƯỜNG PHÁT HOME,"0355570947
","3703343782
"
CÔNG TY TNHH DỊCH VỤ VẬN TẢI DIỆP KIM NGÂN,"0979286432
","3703343775
"
CÔNG TY TNHH SẢN XUẤT VÀ DỊCH VỤ ÁNH DƯƠNG,"0962065412
","3703343768
"
,,
CÔNG TY TNHH BẢO HIỂM VINH,"0909154439
","3703343736
"
,,
CÔNG TY TNHH MTV MỸ PHẨM NAM PHÁT,"0926640926
","3703343711
"
,,
CÔNG TY TNHH LAB HOÀNG CƯỜNG,"0966216210
","3703343207
"
,,
CÔNG TY TNHH MAY MẶC KIẾN AN VINH,"0336957043
","3703343140
"
CÔNG TY TNHH GIẢI PHÁP VÀ CÔNG NGHỆ NAM HƯNG,"0912323995
","3703342901
"
CÔNG TY TNHH TTL EXPRESS,"0975001570
","5600350005
"
CÔNG TY TNHH TTL EXPRESS,"0975001570
","5600350005
"
CÔNG TY TNHH MTV DỊCH VỤ THƯƠNG MẠI HOÀNG PHÁT ĐẠT,"0988124365
","3703344627
"
CÔNG TY TNHH CƠ GIỚI THUỶ HÀ,"0372334170
","3703344105
"
CÔNG TY TNHH MÔI TRƯỜNG HÒA THÀNH TIẾN,"0354880404
","3703344070
"
CÔNG TY TNHH GIA BẢO CBGB,"0906123493
","3703344095
"
CÔNG TY TNHH GARAGE Ô TÔ TUẤN HƯNG,"0944996773
","3703344296
"
CÔNG TY TNHH TINH VÂN GOURMET,"0346865288
","3703344289
"
CÔNG TY TNHH TUYÊN PHÚ LỘC,"0969140378
","3703344257
"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ SƠN THỊNH,"0938149679
","3703344144
"
CÔNG TY TNHH KỸ THUẬT CƠ KHÍ ĐẠI LỢI,"0852795765
","3703344112
"
CÔNG TY TNHH SẮT THÉP VIỄN DƯƠNG,"0975511411
","3703344211
"
CÔNG TY TNHH DỊCH VỤ BẢO VỆ LONG TAM VN,"0908936634
","3703344169
"
CÔNG TY TNHH MỘT THÀNH VIÊN VÕ VĂN THÀNH,"0915538888
","3703344218
"
CÔNG TY TNHH SX TM DV QUẢNG CÁO SÁNG TẠO TRẺ,"0961729080
","3703344200
"
CÔNG TY TNHH SỬA CHỮA ÔTÔ TẢI THANH GIANG,"091749995509181801
","3703344151
"
CÔNG TY TNHH VIEMEDI GLOBAL,"0353153988
","3703344063
"
CÔNG TY TNHH TIÊU DÙNG PHƯƠNG ĐÔNG,"0972490777
","3703344056
"
CÔNG TY TNHH CÔNG NGHỆ KỸ THUẬT THỐNG NHẤT VIỆT NAM,"0933611378
","3703343341
"
CÔNG TY TNHH SX TM NEOPRENE HỒNG VẬN,"0933121168
","3703343327
"
CÔNG TY TNHH 35MM CREATIVE STUDIO,"0969693969
","3703343302
"
CÔNG TY TNHH MTV THƯƠNG MẠI - DỊCH VỤ BÁCH HÓA PHƯƠNG NGHI MART,"0987456627
","3703343260
"
CÔNG TY TNHH HGP.CONSTRUCTION,"0827191819
","3703343246
"
CÔNG TY TNHH TUỆ LÂM GIA,"0769346393
","3703343221
"
CÔNG TY TNHH VẬT LIỆU MỚI JIN FENG,"02743990200
","3703343214
"
CÔNG TY TNHH DỊCH VỤ KARAOKE CHIỀU TÍM,"0908197663
","3703343172
"
